rowNo,tconst,title,Month,revenue
0,tt2614684,'71,February,39894
1,tt2614684,'71,March,982052
2,tt2614684,'71,April,243927
3,tt2614684,'71,May,4974
4,tt7518786,'83,January,766207
5,tt7518786,'83,December,2391139
6,tt4417402,'85: The Greatest Team in Football History,January,124008
7,tt4417402,'85: The Greatest Team in Football History,February,565
8,tt1179933,10 Cloverfield Lane,March,58813060
9,tt1179933,10 Cloverfield Lane,April,12360036
10,tt1179933,10 Cloverfield Lane,May,889864
11,tt1179933,10 Cloverfield Lane,June,20038
12,tt1715873,10 Years,September,177763
13,tt1715873,10 Years,October,25610
14,tt0443649,"10,000 BC",March,85400862
15,tt0443649,"10,000 BC",April,8069935
16,tt0443649,"10,000 BC",May,1155267
17,tt0443649,"10,000 BC",June,158137
18,tt3114132,10.000 Km,July,12423
19,tt0211181,102 Dalmatians,January,1988268
20,tt0211181,102 Dalmatians,November,28312221
21,tt0211181,102 Dalmatians,December,25104643
22,tt6580564,102 Not Out,May,1328909
23,tt6580564,102 Not Out,June,14888
24,tt15783266,10x10,April,2263
25,tt6210996,10x10,April,2263
26,tt1160368,12 Rounds,March,6087220
27,tt3517850,12 Rounds,March,6087220
28,tt1160368,12 Rounds,April,5427514
29,tt3517850,12 Rounds,April,5427514
30,tt1160368,12 Rounds,May,578154
31,tt3517850,12 Rounds,May,578154
32,tt1413492,12 Strong,January,31971175
33,tt1413492,12 Strong,February,13022180
34,tt1413492,12 Strong,March,506809
35,tt2024544,12 Years a Slave,January,6888192
36,tt2024544,12 Years a Slave,February,4744224
37,tt2024544,12 Years a Slave,March,6806691
38,tt2024544,12 Years a Slave,April,244324
39,tt2024544,12 Years a Slave,October,4160324
40,tt2024544,12 Years a Slave,November,28506422
41,tt2024544,12 Years a Slave,December,5284625
42,tt1542344,127 Hours,January,3506001
43,tt1542344,127 Hours,February,4232522
44,tt1542344,127 Hours,March,351063
45,tt1542344,127 Hours,November,4710387
46,tt1542344,127 Hours,December,5492841
47,tt9077876,13 Fanboy,October,5796
48,tt0337563,13 Going on 30,April,28402767
49,tt0337563,13 Going on 30,May,26158250
50,tt0337563,13 Going on 30,June,1032472
51,tt4172430,13 Hours,January,42848089
52,tt4172430,13 Hours,February,9434937
53,tt4172430,13 Hours,March,570193
54,tt2059171,13 Sins,April,13809
55,tt1385824,13B: Fear Has a New Address,March,36340
56,tt1385824,13B: Fear Has a New Address,April,254
57,tt6976172,"14 Days, 12 Nights",March,122530
58,tt0450385,1408,June,37420666
59,tt0450385,1408,July,32786628
60,tt0450385,1408,August,1030430
61,tt0450385,1408,September,715770
62,tt0450385,1408,October,24463
63,tt10021622,16 Bars,November,10985
64,tt11131480,16 Bars,November,10985
65,tt0450232,16 Blocks,March,35043007
66,tt2940108,16 Blocks,March,35043007
67,tt0450232,16 Blocks,April,1454470
68,tt2940108,16 Blocks,April,1454470
69,tt0450232,16 Blocks,May,397664
70,tt2940108,16 Blocks,May,397664
71,tt0974661,17 Again,April,42142459
72,tt0974661,17 Again,May,19091431
73,tt0974661,17 Again,June,1960114
74,tt0974661,17 Again,July,938649
75,tt0974661,17 Again,August,34416
76,tt5698568,1898: Our Last Men in the Philippines,March,2848
77,tt8579674,1917,January,111056386
78,tt8579674,1917,February,42792405
79,tt8579674,1917,March,4052675
80,tt8579674,1917,December,1326178
81,tt15445390,1945,January,2380
82,tt16794270,1945,January,2380
83,tt5815492,1945,January,2380
84,tt8334302,1945,January,2380
85,tt13475392,1982,June,4302
86,tt2388621,1982,June,4302
87,tt7725384,1982,June,4302
88,tt13475392,1982,August,1954
89,tt2388621,1982,August,1954
90,tt7725384,1982,August,1954
91,tt13475392,1982,September,5144
92,tt2388621,1982,September,5144
93,tt7725384,1982,September,5144
94,tt13475392,1982,October,865
95,tt2388621,1982,October,865
96,tt7725384,1982,October,865
97,tt13475392,1982,November,804
98,tt2388621,1982,November,804
99,tt7725384,1982,November,804
100,tt8264546,1991,July,708332
101,tt9831908,1991,July,708332
102,tt8264546,1991,August,1409111
103,tt9831908,1991,August,1409111
104,tt8264546,1991,September,214071
105,tt9831908,1991,September,214071
106,tt8264546,1991,October,10078
107,tt9831908,1991,October,10078
108,tt8264546,1991,November,672
109,tt9831908,1991,November,672
110,tt0322259,2 Fast 2 Furious,June,114883410
111,tt0322259,2 Fast 2 Furious,July,10134800
112,tt0322259,2 Fast 2 Furious,August,1731250
113,tt0322259,2 Fast 2 Furious,September,344985
114,tt1272878,2 Guns,August,68311390
115,tt1272878,2 Guns,September,6717360
116,tt1272878,2 Guns,October,583710
117,tt5616176,2 Hearts,October,964803
118,tt5616176,2 Hearts,November,182379
119,tt5616176,2 Hearts,December,466
120,tt11912390,2 States,April,1824036
121,tt2372678,2 States,April,1824036
122,tt11912390,2 States,May,414138
123,tt2372678,2 States,May,414138
124,tt5080556,2.0,November,728000
125,tt5080556,2.0,December,2494000
126,tt18924506,2000 Mules,May,1304278
127,tt18924506,2000 Mules,June,154318
128,,2001: A Space Odyssey2018 Re-release,May,495850
129,,2001: A Space Odyssey2018 Re-release,June,603096
130,,2001: A Space Odyssey2018 Re-release,July,184874
131,tt1190080,2012,January,2868293
132,tt1190080,2012,February,392493
133,tt1190080,2012,November,139415313
134,tt1190080,2012,December,22933688
135,tt2247692,2016: Obama's America,August,14281365
136,tt2247692,2016: Obama's America,September,17752963
137,tt4385888,20th Century Women,January,3980242
138,tt4385888,20th Century Women,February,1340527
139,tt4385888,20th Century Women,March,166546
140,tt4385888,20th Century Women,April,38559
141,tt4385888,20th Century Women,May,909
142,tt4385888,20th Century Women,December,137981
143,tt0224451,21,March,26097301
144,tt0478087,21,March,26097301
145,tt0809996,21,March,26097301
146,tt5097012,21,March,26097301
147,tt0224451,21,April,50600206
148,tt0478087,21,April,50600206
149,tt0809996,21,April,50600206
150,tt5097012,21,April,50600206
151,tt0224451,21,May,4461858
152,tt0478087,21,May,4461858
153,tt0809996,21,May,4461858
154,tt5097012,21,May,4461858
155,tt1711425,21 & Over,March,24952089
156,tt1711425,21 & Over,April,659201
157,tt1711425,21 & Over,May,71090
158,tt8688634,21 Bridges,January,792488
159,tt8688634,21 Bridges,November,18051864
160,tt8688634,21 Bridges,December,9695405
161,tt0315733,21 Grams,January,5479573
162,tt14774434,21 Grams,January,5479573
163,tt0315733,21 Grams,November,1707720
164,tt14774434,21 Grams,November,1707720
165,tt0315733,21 Grams,December,3857100
166,tt14774434,21 Grams,December,3857100
167,tt1232829,21 Jump Street,March,88925169
168,tt1232829,21 Jump Street,April,43257653
169,tt1232829,21 Jump Street,May,4286447
170,tt1232829,21 Jump Street,June,837296
171,tt1232829,21 Jump Street,July,28087
172,tt2294449,22 Jump Street,June,142719235
173,tt2294449,22 Jump Street,July,44541847
174,tt2294449,22 Jump Street,August,3280597
175,tt2294449,22 Jump Street,September,307582
176,tt2294449,22 Jump Street,October,211180
177,tt2294449,22 Jump Street,November,233285
178,tt0274309,24 Hour Party People,August,373064
179,tt0307901,25th Hour,January,9982478
180,tt0307901,25th Hour,February,2142195
181,tt0307901,25th Hour,December,408050
182,tt0988595,27 Dresses,January,48715248
183,tt0988595,27 Dresses,February,25148242
184,tt0988595,27 Dresses,March,2304920
185,tt0988595,27 Dresses,April,554452
186,tt0988595,27 Dresses,May,4663
187,tt0191754,28 Days,April,28577719
188,tt22406324,28 Days,April,28577719
189,tt0191754,28 Days,May,5439914
190,tt22406324,28 Days,May,5439914
191,tt0289043,28 Days Later...,June,11484402
192,tt0289043,28 Days Later...,July,27146320
193,tt0289043,28 Days Later...,August,5482616
194,tt0289043,28 Days Later...,September,868117
195,tt0289043,28 Days Later...,October,69350
196,tt0463854,28 Weeks Later,May,25376762
197,tt0463854,28 Weeks Later,June,2988254
198,tt0463854,28 Weeks Later,July,233419
199,tt16282914,2nd Chance,December,3163
200,tt8584870,2nd Chance,December,3163
201,tt2172934,3 Days to Kill,February,17255259
202,tt2172934,3 Days to Kill,March,12997142
203,tt2172934,3 Days to Kill,April,371571
204,tt2172934,3 Days to Kill,May,74027
205,tt4158624,3 Generations,May,155936
206,tt2822742,3 Hearts,March,21912
207,tt2822742,3 Hearts,April,15664
208,tt1187043,3 Idiots,January,3148339
209,tt1187043,3 Idiots,February,119808
210,tt1187043,3 Idiots,March,2118
211,tt1187043,3 Idiots,December,3262609
212,tt8134742,3 from Hell,September,1809226
213,tt3685624,3 idiotas,June,1249233
214,tt1484521,30 Beats,July,14693
215,tt0389722,30 Days of Night,October,29659774
216,tt0389722,30 Days of Night,November,9909222
217,tt1622547,30 Minutes or Less,August,32897480
218,tt1622547,30 Minutes or Less,September,4075822
219,tt3711708,30 Years of Garbage: The Garbage Pail Kids Story,September,427
220,tt0416449,300,March,176488891
221,tt0416449,300,April,30551474
222,tt0416449,300,May,2273607
223,tt0416449,300,June,1184546
224,tt0416449,300,July,116421
225,tt1253863,300: Rise of an Empire,March,101448843
226,tt1253863,300: Rise of an Empire,April,4442312
227,tt1253863,300: Rise of an Empire,May,688896
228,tt1652287,35 and Ticking,May,53339
229,tt1652287,35 and Ticking,June,22525
230,tt1652287,35 and Ticking,July,18788
231,tt1652287,35 and Ticking,August,19142
232,tt3696764,350 Days - Legends. Champions. Survivors,July,47526
233,tt0050086,3:10 to Yuma,September,43951910
234,tt0381849,3:10 to Yuma,September,43951910
235,tt0050086,3:10 to Yuma,October,9335520
236,tt0381849,3:10 to Yuma,October,9335520
237,tt0050086,3:10 to Yuma,November,319486
238,tt0381849,3:10 to Yuma,November,319486
239,tt5048406,4 Days in France,August,10755
240,tt5048406,4 Days in France,September,274
241,tt5048406,4 Days in France,October,403
242,tt5048406,4 Days in France,December,695
243,tt0243736,40 Days and 40 Nights,March,34124000
244,tt0453562,42,April,70724171
245,tt0453562,42,May,21237637
246,tt0453562,42,June,2603950
247,tt0453562,42,July,454455
248,,42nd Street - The Musical,May,187440
249,,44 Inch Chest2010 Re-release,January,17428
250,,44 Inch Chest2010 Re-release,February,18043
251,,44 Inch Chest2010 Re-release,March,3562
252,tt2932536,47 Meters Down,June,29292130
253,tt2932536,47 Meters Down,July,13442112
254,tt2932536,47 Meters Down,August,1060222
255,tt2932536,47 Meters Down,September,501114
256,tt2932536,47 Meters Down,October,11613
257,tt7329656,47 Meters Down: Uncaged,August,18296808
258,tt7329656,47 Meters Down: Uncaged,September,3690675
259,tt7329656,47 Meters Down: Uncaged,October,265172
260,tt7329656,47 Meters Down: Uncaged,November,8245
261,tt0111170,47 Ronin,January,14350570
262,tt1335975,47 Ronin,January,14350570
263,tt0111170,47 Ronin,February,159130
264,tt1335975,47 Ronin,February,159130
265,tt0111170,47 Ronin,December,23852775
266,tt1335975,47 Ronin,December,23852775
267,tt1486193,5 Days of War,August,11677
268,tt1486193,5 Days of War,September,5802
269,tt2933544,5 Flights Up,May,858622
270,tt2933544,5 Flights Up,June,162299
271,tt0343660,50 First Dates,February,88683963
272,tt0343660,50 First Dates,March,28576454
273,tt0343660,50 First Dates,April,1909411
274,tt0343660,50 First Dates,May,669300
275,tt0343660,50 First Dates,June,340048
276,tt1777595,50 to 1,March,150239
277,tt1777595,50 to 1,April,500513
278,tt1777595,50 to 1,May,62195
279,tt1777595,50 to 1,June,57736
280,tt1777595,50 to 1,July,58200
281,tt1777595,50 to 1,August,48101
282,tt1777595,50 to 1,September,139236
283,tt1777595,50 to 1,October,3143
284,tt0076122,50/50,September,2887377
285,tt10650688,50/50,September,2887377
286,tt1306980,50/50,September,2887377
287,tt1734060,50/50,September,2887377
288,tt0076122,50/50,October,28598606
289,tt10650688,50/50,October,28598606
290,tt1306980,50/50,October,28598606
291,tt1734060,50/50,October,28598606
292,tt0076122,50/50,November,3123482
293,tt10650688,50/50,November,3123482
294,tt1306980,50/50,November,3123482
295,tt1734060,50/50,November,3123482
296,tt0076122,50/50,December,404727
297,tt10650688,50/50,December,404727
298,tt1306980,50/50,December,404727
299,tt1734060,50/50,December,404727
300,tt1022603,500 Days of Summer,July,4943694
301,tt1022603,500 Days of Summer,August,20466017
302,tt1022603,500 Days of Summer,September,6373600
303,tt1022603,500 Days of Summer,October,505782
304,tt1022603,500 Days of Summer,November,28219
305,tt9403508,5B,June,69645
306,tt9403508,5B,July,3323
307,tt5466186,7 Days in Entebbe,March,3189220
308,tt4424722,7 Witches,May,402
309,tt1587729,71: Into the Fire,July,50431
310,tt1587729,71: Into the Fire,August,126207
311,tt0298203,8 Mile,January,1388480
312,tt0298203,8 Mile,February,450940
313,tt0298203,8 Mile,March,67535
314,tt0298203,8 Mile,November,106281845
315,tt0298203,8 Mile,December,8544020
316,tt0411061,88 Minutes,April,13570308
317,tt0411061,88 Minutes,May,3360576
318,tt0342012,9,September,27859027
319,tt0472033,9,September,27859027
320,tt15462052,9,September,27859027
321,tt5719388,9,September,27859027
322,tt8180482,9,September,27859027
323,tt0342012,9,October,3517120
324,tt0472033,9,October,3517120
325,tt15462052,9,October,3517120
326,tt5719388,9,October,3517120
327,tt8180482,9,October,3517120
328,tt0342012,9,November,368943
329,tt0472033,9,November,368943
330,tt15462052,9,November,368943
331,tt5719388,9,November,368943
332,tt8180482,9,November,368943
333,tt0342012,9,December,4804
334,tt0472033,9,December,4804
335,tt15462052,9,December,4804
336,tt5719388,9,December,4804
337,tt8180482,9,December,4804
338,tt12331830,9/11,September,170000
339,tt4917224,9/11,September,170000
340,tt9555134,9/11,September,170000
341,tt4337690,90 Minutes in Heaven,September,4594753
342,tt4337690,90 Minutes in Heaven,October,196795
343,tt2891174,99 Homes,October,746734
344,tt5684466,A Aa,June,2313043
345,tt6359956,A Bad Moms Christmas,January,218671
346,tt6359956,A Bad Moms Christmas,November,61351823
347,tt6359956,A Bad Moms Christmas,December,10540165
348,tt0153414,A Bag of Marbles,May,7420
349,tt5091612,A Bag of Marbles,May,7420
350,tt11400902,A Banquet,February,2151
351,tt2901014,A Beautiful Day in the Neighborhood,January,4357364
352,tt3224458,A Beautiful Day in the Neighborhood,January,4357364
353,tt2901014,A Beautiful Day in the Neighborhood,February,595125
354,tt3224458,A Beautiful Day in the Neighborhood,February,595125
355,tt2901014,A Beautiful Day in the Neighborhood,March,32555
356,tt3224458,A Beautiful Day in the Neighborhood,March,32555
357,tt2901014,A Beautiful Day in the Neighborhood,November,31877278
358,tt3224458,A Beautiful Day in the Neighborhood,November,31877278
359,tt2901014,A Beautiful Day in the Neighborhood,December,24829715
360,tt3224458,A Beautiful Day in the Neighborhood,December,24829715
361,tt0268978,A Beautiful Mind,January,80221615
362,tt0268978,A Beautiful Mind,February,38182525
363,tt0268978,A Beautiful Mind,March,26563745
364,tt0268978,A Beautiful Mind,April,8601110
365,tt0268978,A Beautiful Mind,May,1296550
366,tt0268978,A Beautiful Mind,December,15876796
367,tt2800050,A Beautiful Planet,May,21914
368,tt2800050,A Beautiful Planet,July,48249
369,tt1954204,A Beautiful Soul,May,54008
370,tt13388966,A Better Life,June,83670
371,tt1469236,A Better Life,June,83670
372,tt1554091,A Better Life,June,83670
373,tt2027265,A Better Life,June,83670
374,tt13388966,A Better Life,July,1501888
375,tt1469236,A Better Life,July,1501888
376,tt1554091,A Better Life,July,1501888
377,tt2027265,A Better Life,July,1501888
378,tt13388966,A Better Life,August,172311
379,tt1469236,A Better Life,August,172311
380,tt1554091,A Better Life,August,172311
381,tt2027265,A Better Life,August,172311
382,tt13388966,A Better Life,September,1383
383,tt1469236,A Better Life,September,1383
384,tt1554091,A Better Life,September,1383
385,tt2027265,A Better Life,September,1383
386,tt0071219,A Bigger Splash,May,1480116
387,tt2056771,A Bigger Splash,May,1480116
388,tt0071219,A Bigger Splash,June,421602
389,tt2056771,A Bigger Splash,June,421602
390,tt0071219,A Bigger Splash,July,3137
391,tt2056771,A Bigger Splash,July,3137
392,tt1401621,A Boy Called Po,September,4550
393,tt6905402,A Boy. A Girl. A Dream.,September,8626
394,tt5092380,A Breath Away,January,371
395,tt5092380,A Breath Away,August,68257
396,tt5092380,A Breath Away,September,6532
397,tt5092380,A Breath Away,October,375
398,tt5092380,A Breath Away,November,2343
399,tt5092380,A Breath Away,December,109
400,tt3149038,A Brilliant Young Mind,September,69889
401,tt3149038,A Brilliant Young Mind,October,20057
402,tt10155342,A Brother's Love,June,364280
403,tt10155342,A Brother's Love,July,124927
404,tt10155342,A Brother's Love,August,29131
405,tt10155342,A Brother's Love,September,14338
406,tt10155342,A Brother's Love,October,6848
407,tt7698468,A Call to Spy,October,106285
408,tt7698468,A Call to Spy,November,10401
409,tt1673702,A Cat in Paris,June,133509
410,tt1673702,A Cat in Paris,July,116810
411,tt1673702,A Cat in Paris,August,45921
412,tt1673702,A Cat in Paris,September,13733
413,tt6052748,A Chance in the World,May,112007
414,tt14324296,A Chiara,May,5981
415,tt14324296,A Chiara,June,29320
416,tt0029992,A Christmas Carol,January,673511
417,tt0039562,A Christmas Carol,January,673511
418,tt0044008,A Christmas Carol,January,673511
419,tt0443734,A Christmas Carol,January,673511
420,tt10415514,A Christmas Carol,January,673511
421,tt10476682,A Christmas Carol,January,673511
422,tt1067106,A Christmas Carol,January,673511
423,tt10778144,A Christmas Carol,January,673511
424,tt13571948,A Christmas Carol,January,673511
425,tt16048864,A Christmas Carol,January,673511
426,tt2131447,A Christmas Carol,January,673511
427,tt2294459,A Christmas Carol,January,673511
428,tt23035676,A Christmas Carol,January,673511
429,tt4387314,A Christmas Carol,January,673511
430,tt4776578,A Christmas Carol,January,673511
431,tt5516774,A Christmas Carol,January,673511
432,tt7820614,A Christmas Carol,January,673511
433,tt8232648,A Christmas Carol,January,673511
434,tt9136058,A Christmas Carol,January,673511
435,tt9387380,A Christmas Carol,January,673511
436,tt9416854,A Christmas Carol,January,673511
437,tt0029992,A Christmas Carol,November,105553830
438,tt0039562,A Christmas Carol,November,105553830
439,tt0044008,A Christmas Carol,November,105553830
440,tt0443734,A Christmas Carol,November,105553830
441,tt10415514,A Christmas Carol,November,105553830
442,tt10476682,A Christmas Carol,November,105553830
443,tt1067106,A Christmas Carol,November,105553830
444,tt10778144,A Christmas Carol,November,105553830
445,tt13571948,A Christmas Carol,November,105553830
446,tt16048864,A Christmas Carol,November,105553830
447,tt2131447,A Christmas Carol,November,105553830
448,tt2294459,A Christmas Carol,November,105553830
449,tt23035676,A Christmas Carol,November,105553830
450,tt4387314,A Christmas Carol,November,105553830
451,tt4776578,A Christmas Carol,November,105553830
452,tt5516774,A Christmas Carol,November,105553830
453,tt7820614,A Christmas Carol,November,105553830
454,tt8232648,A Christmas Carol,November,105553830
455,tt9136058,A Christmas Carol,November,105553830
456,tt9387380,A Christmas Carol,November,105553830
457,tt9416854,A Christmas Carol,November,105553830
458,tt0029992,A Christmas Carol,December,31335221
459,tt0039562,A Christmas Carol,December,31335221
460,tt0044008,A Christmas Carol,December,31335221
461,tt0443734,A Christmas Carol,December,31335221
462,tt10415514,A Christmas Carol,December,31335221
463,tt10476682,A Christmas Carol,December,31335221
464,tt1067106,A Christmas Carol,December,31335221
465,tt10778144,A Christmas Carol,December,31335221
466,tt13571948,A Christmas Carol,December,31335221
467,tt16048864,A Christmas Carol,December,31335221
468,tt2131447,A Christmas Carol,December,31335221
469,tt2294459,A Christmas Carol,December,31335221
470,tt23035676,A Christmas Carol,December,31335221
471,tt4387314,A Christmas Carol,December,31335221
472,tt4776578,A Christmas Carol,December,31335221
473,tt5516774,A Christmas Carol,December,31335221
474,tt7820614,A Christmas Carol,December,31335221
475,tt8232648,A Christmas Carol,December,31335221
476,tt9136058,A Christmas Carol,December,31335221
477,tt9387380,A Christmas Carol,December,31335221
478,tt9416854,A Christmas Carol,December,31335221
479,,A Christmas Story2020 Re-release,December,35000
480,tt0356470,A Cinderella Story,July,38848882
481,tt0356470,A Cinderella Story,August,11735303
482,tt0356470,A Cinderella Story,September,697659
483,tt0356470,A Cinderella Story,October,149316
484,tt0067900,A Cop,April,27671
485,tt0194483,A Cop,April,27671
486,tt0067900,A Cop,June,4690
487,tt0194483,A Cop,June,4690
488,tt0067900,A Cop,July,7148
489,tt0194483,A Cop,July,7148
490,tt0067900,A Cop,August,4437
491,tt0194483,A Cop,August,4437
492,tt4731136,A Cure for Wellness,February,7826555
493,tt4731136,A Cure for Wellness,March,251184
494,tt0377744,A Day Without a Mexican,May,2034869
495,tt0377744,A Day Without a Mexican,June,1125159
496,tt0377744,A Day Without a Mexican,July,63404
497,tt0365125,A Dirty Shame,September,449000
498,tt8385474,A Dog's Journey,May,18014600
499,tt8385474,A Dog's Journey,June,4257970
500,tt8385474,A Dog's Journey,July,274020
501,tt1753383,A Dog's Purpose,January,20488165
502,tt1753383,A Dog's Purpose,February,37584020
503,tt1753383,A Dog's Purpose,March,5501035
504,tt1753383,A Dog's Purpose,April,657625
505,tt1753383,A Dog's Purpose,May,91045
506,tt7616798,A Dog's Way Home,January,32392871
507,tt7616798,A Dog's Way Home,February,8864082
508,tt7616798,A Dog's Way Home,March,695762
509,tt5639354,A Fantastic Woman,February,21724
510,,A Fish in the Bathtub2019 re-release,November,1826
511,tt0835034,A Four Letter Word,March,13225
512,tt0835034,A Four Letter Word,April,20835
513,tt0835034,A Four Letter Word,May,21783
514,tt0835034,A Four Letter Word,June,16552
515,tt0835034,A Four Letter Word,July,170
516,tt5613834,A Gentleman,August,275075
517,tt8289324,A Gentleman,August,275075
518,tt5613834,A Gentleman,September,134980
519,tt8289324,A Gentleman,September,134980
520,tt6265828,A Ghost Story,July,982279
521,tt6265828,A Ghost Story,August,562645
522,tt6265828,A Ghost Story,September,1842
523,tt3507138,A Girl Like Grace,December,713
524,tt1606378,A Good Day to Die Hard,February,55124041
525,tt1606378,A Good Day to Die Hard,March,11427028
526,tt1606378,A Good Day to Die Hard,April,692957
527,tt1606378,A Good Day to Die Hard,May,105172
528,tt0379306,A Good Woman,February,238609
529,tt0401445,A Good Year,January,8345
530,tt0401445,A Good Year,November,7235343
531,tt0401445,A Good Year,December,194898
532,tt0076042,A Grin Without A Cat,January,841
533,tt0076042,A Grin Without A Cat,February,1948
534,tt0076042,A Grin Without A Cat,March,1037
535,tt0076042,A Grin Without A Cat,April,458
536,tt0076042,A Grin Without A Cat,May,23292
537,tt0076042,A Grin Without A Cat,July,1052
538,tt0076042,A Grin Without A Cat,August,7070
539,tt0076042,A Grin Without A Cat,September,5627
540,tt0076042,A Grin Without A Cat,November,831
541,tt0076042,A Grin Without A Cat,December,1462
542,tt0295289,A Guy Thing,January,13632012
543,tt0295289,A Guy Thing,February,1820400
544,tt2243537,A Haunted House,January,36233903
545,tt2243537,A Haunted House,February,3706642
546,tt2243537,A Haunted House,March,101138
547,tt2828996,A Haunted House 2,April,14858532
548,tt2828996,A Haunted House 2,May,2388362
549,tt2828996,A Haunted House 2,June,82592
550,tt5827916,A Hidden Life,January,837230
551,tt5827916,A Hidden Life,February,15817
552,tt5827916,A Hidden Life,December,877550
553,tt0399146,A History of Violence,September,3130000
554,tt0399146,A History of Violence,October,25160000
555,tt0399146,A History of Violence,November,1158000
556,tt2980210,A Hologram for the King,April,2308433
557,tt2980210,A Hologram for the King,May,1813757
558,tt2980210,A Hologram for the King,June,81005
559,tt2980210,A Hologram for the King,July,9299
560,tt0359423,A Home at the End of the World,July,174651
561,tt0359423,A Home at the End of the World,August,728896
562,tt0359423,A Home at the End of the World,September,110958
563,tt0359423,A Home at the End of the World,October,15367
564,tt0291538,A Housekeeper,October,1392
565,tt0995854,A Journal for Jordan,January,2525581
566,tt0995854,A Journal for Jordan,February,17059
567,tt0995854,A Journal for Jordan,December,3900000
568,tt6884200,A Kid Like Jake,June,33827
569,tt0056141,A Kind of Loving,April,3278
570,tt2726552,A Kind of Murder,December,202
571,tt0183790,A Knight's Tale,May,11828849
572,tt0183790,A Knight's Tale,June,2444962
573,tt1226240,A Late Quartet,January,201340
574,tt1226240,A Late Quartet,February,65397
575,tt1226240,A Late Quartet,March,14846
576,tt1226240,A Late Quartet,November,808886
577,tt1226240,A Late Quartet,December,472079
578,tt3214286,A Lego Brickumentary,July,13000
579,tt3214286,A Lego Brickumentary,August,71649
580,tt1853614,A Letter to Momo,July,9368
581,tt1853614,A Letter to Momo,August,19530
582,tt1853614,A Letter to Momo,September,40987
583,tt1853614,A Letter to Momo,October,951
584,tt2639254,A Little Chaos,June,222237
585,tt2639254,A Little Chaos,July,335936
586,tt1319722,A Little Help,July,88790
587,tt1319722,A Little Help,August,8078
588,tt2386502,A Long Way Off,June,262
589,tt2386502,A Long Way Off,July,2114
590,tt2386502,A Long Way Off,August,730
591,tt0391304,A Lot Like Love,April,13526724
592,tt16770050,A Lot Like Love,April,13526724
593,tt0391304,A Lot Like Love,May,7903135
594,tt16770050,A Lot Like Love,May,7903135
595,tt12691830,A Love Song,July,16046
596,tt12691830,A Love Song,August,207596
597,tt12691830,A Love Song,September,41399
598,tt12691830,A Love Song,October,733
599,tt0369672,A Love Song for Bobby Long,January,104886
600,tt0369672,A Love Song for Bobby Long,February,38914
601,tt0369672,A Love Song for Bobby Long,December,20508
602,tt0266465,A Man Apart,April,25407000
603,tt0266465,A Man Apart,May,838100
604,,A Man Vanishes2012 Re-release,January,1021
605,,A Man Vanishes2012 Re-release,February,281
606,,A Man Vanishes2012 Re-release,April,36
607,,A Man Vanishes2012 Re-release,September,154
608,,A Man Vanishes2012 Re-release,November,3386
609,,A Man Vanishes2012 Re-release,December,105
610,tt0829459,A Mighty Heart,June,6538058
611,tt12396674,A Mighty Heart,June,6538058
612,tt0829459,A Mighty Heart,July,2566260
613,tt12396674,A Mighty Heart,July,2566260
614,tt0829459,A Mighty Heart,August,72469
615,tt12396674,A Mighty Heart,August,72469
616,tt0310281,A Mighty Wind,April,5031582
617,tt0310281,A Mighty Wind,May,10195797
618,tt0310281,A Mighty Wind,June,1991354
619,tt0310281,A Mighty Wind,July,302344
620,tt2557490,A Million Ways to Die in the West,May,12565770
621,tt2557490,A Million Ways to Die in the West,June,29245685
622,tt2557490,A Million Ways to Die in the West,July,909510
623,tt3416532,A Monster Calls,January,3676757
624,tt3416532,A Monster Calls,December,64066
625,tt1972571,A Most Wanted Man,July,3734649
626,tt1972571,A Most Wanted Man,August,11258483
627,tt1972571,A Most Wanted Man,September,2083361
628,tt1972571,A Most Wanted Man,October,149122
629,tt1972571,A Most Wanted Man,November,11773
630,tt10925852,A Mouthful of Air,October,83776
631,tt10925852,A Mouthful of Air,November,63874
632,tt0087800,A Nightmare on Elm Street,April,15735956
633,tt1179056,A Nightmare on Elm Street,April,15735956
634,tt14727006,A Nightmare on Elm Street,April,15735956
635,tt4920216,A Nightmare on Elm Street,April,15735956
636,tt0087800,A Nightmare on Elm Street,May,46170466
637,tt1179056,A Nightmare on Elm Street,May,46170466
638,tt14727006,A Nightmare on Elm Street,May,46170466
639,tt4920216,A Nightmare on Elm Street,May,46170466
640,tt0087800,A Nightmare on Elm Street,June,1032959
641,tt1179056,A Nightmare on Elm Street,June,1032959
642,tt14727006,A Nightmare on Elm Street,June,1032959
643,tt4920216,A Nightmare on Elm Street,June,1032959
644,tt0087800,A Nightmare on Elm Street,July,135630
645,tt1179056,A Nightmare on Elm Street,July,135630
646,tt14727006,A Nightmare on Elm Street,July,135630
647,tt4920216,A Nightmare on Elm Street,July,135630
648,tt0971209,A Perfect Getaway,August,15034335
649,tt0971209,A Perfect Getaway,September,481125
650,tt0420087,A Prairie Home Companion,June,13828142
651,tt0420087,A Prairie Home Companion,July,5406255
652,tt0420087,A Prairie Home Companion,August,798369
653,tt0420087,A Prairie Home Companion,September,280988
654,tt0420087,A Prairie Home Companion,October,29098
655,tt4080956,A Prayer Before Dawn,August,14453
656,tt2368254,A Private War,January,15792
657,tt7016584,A Private War,January,15792
658,tt2368254,A Private War,November,1481748
659,tt7016584,A Private War,November,1481748
660,tt2368254,A Private War,December,135668
